Language,Glottocode,Glottocode_original,note,Polity_Complexity_Rank,polity_complexity,family_size_glottolog,EGIDS,Family Glottolog
"Malay, Manokwari Papuan",mala1479,mala1479,,,,1277, ,Austronesian
Minangkabau,mina1268,mina1268,,,,1277,5,Austronesian
English,stan1293,stan1293,,1,National Language: World,589,0,Indo-European
Hebrew,hebr1245,anci1244,,2,National Language: Primary,375,1,Afro-Asiatic
Roon,roon1237,roon1237,,,,1277,6b*,Austronesian
"Indonesian, Riau",riau1236,Ø,,,,1277,5*,Austronesian
"Malay, Siak",siak1238,siak1238,,,,1277, ,Austronesian
"Indonesian, Jakarta",cjin1234,cjin1234,,,,1277,1,Austronesian
Tukang Besi,tuka1247,tuka1247,,,,1277,6a,Austronesian
Wolio,woli1241,woli1241,,,,1277,6b,Austronesian
Muna,muna1247,muna1247,,,,1277,6b,Austronesian
Palu’e,palu1252,palu1252,,,,1277,6b,Austronesian
Skou,skou1239,skou1239,,,,10,6a,Sko
Barupu,lago1243,lago1243,,,,10,5,Sko
Puare,puar1242,puar1242,,,,10,8a,Sko
Wersing,wers1238,wers1238,,,,23,6a,Timor-Alor-Pantar
Iha,ihaa1241,ihaa1241,,,,3,6a,West Bomberai
One,onee1245,onee1245,,,,55,6b,Nuclear Torricelli
Kanum (Ngkâlmpw),kanu1280,kanu1280,,,,19,6b,Yam
Meyah,meya1236,meya1236,,,,3,5*,East Bird�s Head
Ireres,Ø,Ø,,,,3, ,East Bird�s Head
Sentani,nucl1632,nucl1632,,,,4,5*,Sentanic
Wooi,woii237,woii237,,,,1277,6b,Austronesian
Biak,biak1248,biak1248,,,,1277,6b*,Austronesian
Yali,yali1257,yali1257,,,,316,5*,Nuclear Trans New Guinea
Haruai,haru1245,haru1245,,,,2,5,Piawi
"Russian, Talitsk",Ø,Ø,,,,589, ,Indo-European
Maltese,malt1254,malt1254,,,,375,1,Afro-Asiatic
Mori Bawah,mori1268,mori1268,,,,1277,6b,Austronesian
"Mixtec, Diuxi-Tilantongo",diux1235,diux1235,,,,180,6b,Otomanguean
"Javanese, Tengger",teng1272,teng1272,,,,1277, ,Austronesian
Tagalog,taga1270,taga1270,,,,1277,3,Austronesian
Agutaynen,agut1237,agut1237,,,,1277,5,Austronesian
Mwotlâp,molt1237,molt1237,,,,1277,6a,Austronesian
Taba (Makian-east),east2440,Ø,East Makian,,,1277,6b*,Austronesian
Waima’a,wain1252,wain1252,,,,1277,6b*,Austronesian
Balinese,bali1278,bali1278,,,,1277,5,Austronesian
Hatam,hata1243,hata1243,,,,2,5*,Hatam-Mansim
Maybrat,maib1239,Ø,Maybrat-Karon,,,1,5,Maybrat-Karon
Sougb,mani1235,mani1235,,,,3,5*,East Bird�s Head
Tok Pisin,tokp240,tokp240,,,,589,1,Indo-European
Kapampangan,pamp1243,Ø,Pampanga,,,1277,3,Austronesian
Mandarin,mand1415,mand1415,,,,496,1,Sino-Tibetan
Tetun Dili,tetu1246,tetu1246,,,,1277,1,Austronesian
Vietnamese,viet1252,viet1252,,,,156,1,Austroasiatic
Thai,thai1261,thai1261,,,,95,1,Tai-Kadai
Lao,laoo1244,laoo1244,,,,95,1,Tai-Kadai
Papiamentu,papi1253,papi1253,,,,589,1,Indo-European
Sranan,sran1240,sran1240,,,,589,3,Indo-European
Bislama,bisl1239,bisl1239,,,,589,1,Indo-European
Palauan,pala1344,pala1344,,,,1277,1,Austronesian
Bengkulu,beng1290,beng1290,,,,1277,6a,Austronesian
Besemah,Ø,Ø,,,,1277,6a,Austronesian
"Malay, North Maluku",nort2828,Ø,,,,1277, ,Austronesian
"Malay, Kuala Lumpur",kual1254,Ø,,,,1277, ,Austronesian
"Malay, Kuching",sara1351,Ø,Sarawak Malay,,,1277, ,Austronesian
Xârâcùù,xara1244,xara1244,,,,1277,6a*,Austronesian
Ainu,ainu1252,ainu1252,,,,3,8b,Ainu
Ona-Selknam,oona1245,oona1245,,,,4, ,Chonan
Seychelles Creole,sese1246,sese1246,,,,589,1,Indo-European
Nivkh,nivk1234,nivk1234,,,,3,8a,Nivkh
"French, standard",stan1290,stan1290,,,,589,1,Indo-European
Sundanese,sund1252,sund1252,,,,1277,3,Austronesian
Nage,nage1237,nage1237,,,,1277,6a*,Austronesian
Tidore,tido1248,tido1248,,,,15,6a*,North Halmahera
Ju|’hoan,juho1239,juho1239,,,,5, ,Kxa
Mentawai,ment1249,ment1249,,,,1277,5*,Austronesian
Kerinci,keri1250,keri1250,,,,1277,6b*,Austronesian
Mpur,mpur1239,mpur1239,,,,1,6b*,Mpur
Abun,abun1252,abun1252,,,,1,6b*,Abun
Äiwoo,ayin1239,ayin1239,,,,1277,6a,Austronesian
Hiw,hiww1237,hiww1237,,,,1277,6a,Austronesian
Onya Darat,sema1269,sema1269,,,,1277, ,Austronesian
Magey Matbat,Ø,Ø,,,,1277, ,Austronesian
Ambai,amba1265,amba1265,,,,1277,6b*,Austronesian
I’saka,kris1246,kris1246,,,,10,8a,Sko
Sinaugoro,sina1266,sina1266,,,,1277,5*,Austronesian
Tsou,tsou1248,tsou1248,,,,1277,6b,Austronesian
Seediq,taro1264,taro1264,,,,1277,8a,Austronesian
Ilokano,ilok1237,ilok1237,,,,1277,3,Austronesian
Sinama,Ø,Ø,,,,1277,6b*,Austronesian
Kimaragang,kima1244,kima1244,,,,1277,6b,Austronesian
Malagasy,Ø,Ø,,,,1277, ,Austronesian
Eastern Cham,east2563,east2563,,,,1277,6b*,Austronesian
Moklen,mokl1243,mokl1243,,,,1277,6b*,Austronesian
Karo Batak,bata1293,bata1293,,,,1277,6b,Austronesian
Buol,buol1237,buol1237,,,,1277,6a,Austronesian
Makassar,maka1311,maka1311,,,,1277,6b,Austronesian
Kambera,kamb1299,kamb1299,,,,1277,5*,Austronesian
Ata,ataa1240,ataa1240,,,,1,8b,Pele-Ata
Babanki,baba1266,baba1266,,,,1433,5,Atlantic-Congo
"Lamaholot, Lewoingu",Ø,Ø,,,,1277, ,Austronesian
Kei,keii1239,keii1239,,,,1277,6a,Austronesian
"Ot Danum, Kadorih",kado1243,kado1243,,,,1277,6a*,Austronesian
Sumbawa,sumb1241,sumb1241,,,,1277,6a*,Austronesian
"Penan, Benalui",Ø,Ø,,,,1277, ,Austronesian
"Kenyah, Lebu’ Kulit",lepo1241,lepo1241,,,,1277,6b*,Austronesian
"Kenyah, Òma Lóngh",Ø,Ø,,,,1277,6b,Austronesian
Kayan (Baram),bara1370,bara1370,,,,1277,6b,Austronesian
"Punan, Malinau",Ø,Ø,,,,1277, ,Austronesian
"Lamaholot, Lewotobi",lewo1244,lewo1244,,,,1277,6a*,Austronesian
Gayo,gayo1244,gayo1244,,,,1277,6b,Austronesian
"Arabic, Omani",oman1239,oman1239,,,,375,6a*,Afro-Asiatic
"Malay, Kupang",kupa1239,kupa1239,,,,1277,3,Austronesian
"French, colloquial",d/stan1290,stan1290,,,,589, ,Indo-European
Sasak,sasa1249,sasa1249,,,,1277,5*,Austronesian
Li’o,lioo1240,lioo1240,,,,1277,6a*,Austronesian
Ngada,ngad1267,ngad1267,,,,1277,6a*,Austronesian
Pendau,pend1242,pend1242,,,,1277,6b,Austronesian
Ratahan,rata1244,rata1244,,,,1277,8b,Austronesian
Lauje,lauj1238,lauj1238,,,,1277,6b,Austronesian
Pamona,pamo1252,pamo1252,,,,1277,6b,Austronesian
Tolaki,tola1247,tola1247,,,,1277,6b,Austronesian
Padoe,pado1242,pado1242,,,,1277,6b,Austronesian
Kulisusu,kuli1254,kuli1254,,,,1277,6a,Austronesian
Hiligaynon,hili1240,hili1240,,,,1277,3,Austronesian
Yogad,yoga1237,yoga1237,,,,1277,6b,Austronesian
Saliba,sali1295,sali1295,,,,1277,5,Austronesian
Sulka,sulk1246,sulk1246,,,,1,6b,Sulka
Lun Dayeh,lund1271,lund1271,,,,1277,5*,Austronesian
Sa’ban,saba1265,saba1265,,,,1277,6b,Austronesian
Manggarai,mang1405,mang1405,,,,1277,6a*,Austronesian
"Punan, Tubu’",puna1266,puna1266,,,,1277,6b*,Austronesian
Tamil,tami1289,tami1289,,,,80,2,Dravidian
Moor,Ø,Ø,,,,1277,7,Austronesian
Carrier,carr1250,carr1250,,,,46,7,Athabaskan-Eyak-Tlingit
Tetun Terik,Ø,Ø,,,,1277,5*,Austronesian
Adang,adan1251,adan1251,,,,23,6b,Timor-Alor-Pantar
"Agta, Dupaningan",dupa1235,dupa1235,,,,1277,6b,Austronesian
Dela-Oenale,dela1251,dela1251,,,,1277,6a,Austronesian
Uab Meto,uabm1237,uabm1237,,,,1277,5*,Austronesian
Dhao,dhao1237,dhao1237,,,,1277,5*,Austronesian
Helong,helo1243,helo1243,,,,1277,6b,Austronesian
Buru,buru1298,buru1298,,,,1277,6b,Austronesian
"Malay, Jambi",jamb1236,jamb1236,,,,1277,6a,Austronesian
"Malay, Pontianak",Ø,Ø,,,,1277, ,Austronesian
Yoruba,yoru1245,yoru1245,,,,1433,2,Atlantic-Congo
Teop,teop1238,teop1238,,,,1277,6b,Austronesian
Samoan,samo1305,samo1305,,,,1277,1,Austronesian
Udihe,udih1248,udih1248,,,,13,8a,Tungusic
Manchu,manc1252,manc1252,,,,13,8b,Tungusic
Even,even1260,even1260,,,,13,7,Tungusic
Persian,Ø,Ø,,,,589, ,Indo-European
Vafsi,vasf1240,vasf1240,,,,589,7,Indo-European
"Aramaic, Urmi Christian",Ø,Ø,,,,375, ,Afro-Asiatic
Azeri,mode1262,mode1262,,,,44,1,Turkic
"Armenian, Eastern",nucl1235,nucl1235,,,,589,1,Indo-European
Yakan,yaka1277,yaka1277,,,,1277,4,Austronesian
Begak,bega1240,bega1240,,,,1277,6b,Austronesian
Jahai,jeha1242,jeha1242,,,,156,6b,Austroasiatic
Maisin,mais1250,mais1250,,,,1277,5,Austronesian
Gumawana,guma1254,guma1254,,,,1277,5,Austronesian
Labu,labo1248,labo1248,,,,1277,6b*,Austronesian
Semelai,seme1247,seme1247,,,,156,6b*,Austroasiatic
Khasi,khas1269,khas1269,,,,156,2,Austroasiatic
Kurukh,kuru1302,kuru1302,,,,80,6b,Dravidian
Kabardian,kaba1278,kaba1278,,,,5,5*,Abkhaz-Adyge
Jalonke  (Yalunka),yalu1240,yalu1240,,,,75,5*,Mande
"Totonac, Misantla",yecu1235,yecu1235,,,,12,8a,Totonacan
Abui,abui1241,abui1241,,,,23,6a*,Timor-Alor-Pantar
Atayal,atay1247,atay1247,,,,1277,7,Austronesian
Takia,taki1248,taki1248,,,,1277,5,Austronesian
Kilivila  (Trobriands),kili1267,kili1267,,,,1277,5,Austronesian
Guaraní (Paraguayan),para1311,para1311,,,,71,6b,Tupian
Griqua,Ø,Ø,,,,14,8b,Khoe-Kwadi
Ewe,ewee1241,ewee1241,,,,1433,3,Atlantic-Congo
Avatime,avat1244,avat1244,,,,1433,5*,Atlantic-Congo
Hindi,hind1269,hind1269,,,,589,1,Indo-European
Bangla,beng1280,beng1280,,,,589,1,Indo-European
Punjabi,panj1256,panj1256,,,,589,2,Indo-European
Braj,braj1242,braj1242,,,,589,5*,Indo-European
Kumaoni,kuma1273,kuma1273,,,,589,5,Indo-European
Garhwali,garh1243,garh1243,,,,589,5,Indo-European
Great Andamanese,grea1241,grea1241,,,,10,9,Great Andamanese
Kharia,krar1287,krar1287,,,,156,5*,Austroasiatic
Mundari,mund1320,mund1320,,,,156,5*,Austroasiatic
Jarawa,jara1245,jara1245,,,,2,6a,Jarawa-Onge
Onge,onge1236,onge1236,,,,2,6b,Jarawa-Onge
Lezgian,lezg1247,lezg1247,,,,34,4,Nakh-Daghestanian
Mosetén,mose1249,mose1249,,,,1,6b,Moset�n-Chiman�
Kisar,kisa1266,kisa1266,,,,1277,5*,Austronesian
Balantak,bala1315,bala1315,,,,1277,5,Austronesian
Duri,duri1242,duri1242,,,,1277,6b,Austronesian
Larike,lari1256,lari1256,,,,1277,6b,Austronesian
Wetan,weta1243,weta1243,,,,1277,5*,Austronesian
"Indonesian, Standard",indo1316,indo1316,,,,1277,1,Austronesian
Finnish,finn1318,finn1318,,,,48,1,Uralic
Estonian,esto1258,esto1258,,,,48,1,Uralic
Mehri,mehr1241,mehr1241,,,,375,7,Afro-Asiatic
Katukina-Kanamari,kana1291,kana1291,,,,2,6a*,Katukinan
Trumai,trum1247,trum1247,,,,1,8a,Trumai
Movima,movi1243,movi1243,,,,1,8a,Movima
Emai,emai1242,emai1242,,,,1433,4,Atlantic-Congo
N|uu,Ø,Ø,,,,8,8b,Tuu
Sandawe,sand1273,sand1273,,,,1,6a,Sandawe
Yucatec,yuca1254,yuca1254,,,,33,5,Mayan
Vilela,vile1241,vile1241,,,,1,10,Vilela
Mohawk,moha1258,moha1258,,,,11,6b,Iroquoian
"Pomo, Eastern",east2545,east2545,,,,7,9,Pomoan
"Yupik, Central",yupi1267,yupi1267,,,,12,6b,Eskimo-Aleut
Navajo,nava1243,nava1243,,,,46,6b*,Athabaskan-Eyak-Tlingit
"Chumash, Barbareño",barb1263,barb1263,,,,6, ,Chumashan
"Italian, Trapani",west2346,west2346,,,,589, ,Indo-European
"Italian, Catania",Ø,Ø,,,,589, ,Indo-European
"Italian, Palermo",west2346,west2346,,,,589, ,Indo-European
Serbo-Croatian,sout1528,Ø,,,,589,1,Indo-European
Tzotzil,tzot1259,tzot1259,,,,33,6b*,Mayan
Inanwatan,inan1242,inan1242,,,,2,6b*,Inanwatan
Moi,moii1235,moii1235,,,,5,6b*,West Bird�s Head
Tehit,tehi1237,tehi1237,,,,5,6b*,West Bird�s Head
Sawu,sabu1255,sabu1255,,,,1277,5*,Austronesian
"Lampung, Way Lima",Ø,Ø,,,,1277, ,Austronesian
Wandamen,wand1267,wand1267,,,,1277,6b*,Austronesian
"Malay, Sri Lanka",sril1245,sril1245,,,,1277,6b,Austronesian
Sinhala,sinh1246,sinh1246,,,,589,1,Indo-European
Kam,kamm1249,kamm1249,,,,95,,Tai-Kadai
Zhuang (Central),cent2009,cent2009,,,,95,,Tai-Kadai
Khamti,kham1290,kham1290,,,,95, ,Tai-Kadai
"Mlabri, Minor",miab1235,miab1235,,,,156, ,Austroasiatic
"Kayah Li, Eastern",east2342,east2342,,,,496,6a,Sino-Tibetan
Meithei,mani1292,mani1292,,,,496,2,Sino-Tibetan
Brahui,brah1256,brah1256,,,,80,5*,Dravidian
"Nicobar, Car",carn1240,carn1240,,,,156,3,Austroasiatic
Pacoh,paco1243,paco1243,,,,156,6b*,Austroasiatic
Mizo,lush1249,lush1249,,,,496,4,Sino-Tibetan
Santali  (Santal),sant1410,sant1410,,,,156,4,Austroasiatic
"Newar, Dolakha",east2773,east2773,,,,496, ,Sino-Tibetan
Nunggubuyu,nung1290,nung1290,,,,12,6b,Gunwinyguan
Bininj Gun-Wok,gunw1252,gunw1252,,,,12,6b,Gunwinyguan
Gaagudju,gaga1251,gaga1251,,,,1,10,Gaagudju
Lardil,lard1243,lard1243,,,,248,8b,Pama-Nyungan
Jaminjung,jami1236,jami1236,,,,5,8a,Mirndi
Tiwi,tiwi1244,tiwi1244,,,,1,5*,Tiwi
Gooniyandi,goon1238,goon1238,,,,2,8a,Bunuban
Hoocąk,Ø,Ø,,,,18,8a,Siouan
Maung,maun1240,maun1240,,,,4,6a*,Iwaidjan Proper
Mara,mara1414,mara1414,,,,4,8b,Mangarrayi-Maran
Mursi,murs1242,murs1242,,,,11,6a,Surmic
Burmese,nucl1310,nucl1310,,,,496,1,Sino-Tibetan
Twi,twii1234,twii1234,,,,1433,3,Atlantic-Congo
Dewoin,dewo1238,dewo1238,,,,1433,6a,Atlantic-Congo
Grebo,greb1257,greb1257,,,,1433,6a*,Atlantic-Congo
Nyabwa,nyab1255,nyab1255,,,,1433,5*,Atlantic-Congo
Klao,klao1243,klao1243,,,,1433,5*,Atlantic-Congo
Krahn,west2488,west2488,,,,1433,5*,Atlantic-Congo
Wobé,weno1238,weno1238,,,,1433,5*,Atlantic-Congo
Kabba,kaba1281,kaba1281,,,,64,5*,Central Sudanic
Me’en,meen1242,meen1242,,,,11,4,Surmic
Ngiti,ngit1239,ngit1239,,,,64,5*,Central Sudanic
Ma’di,madi1260,madi1260,,,,64,5,Central Sudanic
Eton,eton1253,eton1253,,,,1433,6a,Atlantic-Congo
Kisi,kisi1243,kisi1243,,,,1433,4,Atlantic-Congo
Supyire,supy1237,supy1237,,,,1433,5,Atlantic-Congo
Temne,timm1235,timm1235,,,,1433,2,Atlantic-Congo
Chechen,chec1245,chec1245,,,,34,2,Nakh-Daghestanian
Khvarshi,khva1239,khva1239,,,,34,6b,Nakh-Daghestanian
Godoberi,ghod1238,ghod1238,,,,34,7,Nakh-Daghestanian
Tsakhur,tsak1249,tsak1249,,,,34,6b,Nakh-Daghestanian
Nama (khauan),nama1265,nama1265,,,,14,4,Khoe-Kwadi
Tennet,tenn1246,tenn1246,,,,11,5,Surmic
Baale,bale254,bale254,,,,11,6a,Surmic
Chai,chai1252,chai1252,,,,11,4,Surmic
Pima Bajo,pima1248,pima1248,,,,69,6b,Uto-Aztecan
Yaqui,yaqu1251,yaqu1251,,,,69,8a,Uto-Aztecan
Dakota,dako1258,dako1258,,,,18,7,Siouan
Lakhota,lako1247,lako1247,,,,18,8a,Siouan
Crow,crow1244,crow1244,,,,18,6b,Siouan
Stoney,ston1242,ston1242,,,,18,7,Siouan
Osage,osag1243,osag1243,,,,18,9,Siouan
Tutelo,tute1247,tute1247,,,,18, ,Siouan
Biloxi,bilo1248,bilo1248,,,,18, ,Siouan
Huitoto,huit1251,huit1251,,,,7, ,Huitotoan
Bora,bora1263,bora1263,,,,7,7,Huitotoan
Cayuga,cayu1261,cayu1261,,,,11,8a,Iroquoian
Oneida,onei1249,onei1249,,,,11,8a,Iroquoian
Enets,enet1250,enet1250,,,,48,8a,Uralic
Dime,dime1235,dime1235,,,,5,6a,South Omotic
Dahalo,daha1245,daha1245,,,,375,8a,Afro-Asiatic
Dhaasanac,daas1238,daas1238,,,,375,5,Afro-Asiatic
Iraqw,iraq1241,iraq1241,,,,375,5,Afro-Asiatic
Tigre,tigr1277,tigr1277,,,,375,4,Afro-Asiatic
Amharic  (ambara),amha1245,amha1245,,,,375,1,Afro-Asiatic
Alaba,alab1254,alab1254,,,,375,4,Afro-Asiatic
Maale,male1284,male1284,,,,19,5,Ta-Ne-Omotic
Koromfe,koro1298,koro1298,,,,1433,5*,Atlantic-Congo
Hdi,hdii1240,hdii1240,,,,375,5,Afro-Asiatic
Kanuri,kanu1281,kanu1281,,,,10,3,Saharan
Hausa  (Kanawa),haus1257,haus1257,,,,375,2,Afro-Asiatic
Kikuyu  (gekoyo),kiku1240,kiku1240,,,,1433,5,Atlantic-Congo
Jamsay,jams1239,jams1239,,,,1433,6a,Atlantic-Congo
"Nubian, Kunuz",kenu1243,kenu1243,,,,13,7,Nubian
Japanese,nucl1643,nucl1643,,,,15,1,Japonic
Paamese,paam1238,paam1238,,,,1277,5*,Austronesian
Avava,katb1237,katb1237,,,,1277,6a,Austronesian
Sie,siee1239,siee1239,,,,1277,6a,Austronesian
South Efate,sout2856,sout2856,,,,1277,5,Austronesian
Anejom,anei1239,anei1239,,,,1277,5*,Austronesian
Dagur,daur1238,daur1238,,,,16,7,Mongolic-Khitan
"Mongol, Khamnigan",kham1281,kham1281,,,,16,7,Mongolic-Khitan
Mangghuer,tuuu1240,tuuu1240,,,,16, ,Mongolic-Khitan
Korean,kore1280,kore1280,,,,2,1,Koreanic
Sonsorol-Tobi,sons1245,sons1245,,,,1277,6b,Austronesian
Kosraean,kors1238,kors1238,,,,1277,2,Austronesian
Kiribati,gilb1244,gilb1244,,,,1277,1,Austronesian
Hawaiian,hawa1245,hawa1245,,,,1277,2,Austronesian
Hmong Njua,hmon1264,hmon1264,,,,39,6a*,Hmong-Mien
Bisu,bisu1244,bisu1244,,,,496,6a,Sino-Tibetan
Lavukaleve,lavu1241,lavu1241,,,,1,6b,Lavukaleve
Klon,kelo1247,kelo1247,,,,23,5*,Timor-Alor-Pantar
Tobelo,tobe1252,tobe1252,,,,15,6b,North Halmahera
Tauya,tauy1241,tauy1241,,,,316,6b,Nuclear Trans New Guinea
"Dani, Lower Grand Valley",lowe1415,lowe1415,,,,316,5*,Nuclear Trans New Guinea
"Dani, Western",west2594,west2594,,,,316,6a*,Nuclear Trans New Guinea
Belait,bela1260,bela1260,,,,1277,7,Austronesian
Pirahà,pira1253,pira1253,,,,1,6b,Pirah�
Urubu-Kaapor,urub1250,urub1250,,,,71,5*,Tupian
Apalai,apal1257,apal1257,,,,42,5*,Cariban
Canela-Krahô,cane1242,cane1242,,,,30,5*,Nuclear-Macro-Je
Guajajara,guaj1255,guaj1255,,,,71,4,Tupian
Apurinà,apur1254,apur1254,,,,78,6b*,Arawakan
Palikur,pali1279,pali1279,,,,78,5*,Arawakan
Parecís,pare1272,pare1272,,,,78,5*,Arawakan
Terêna,tere1281,tere1281,,,,78,7,Arawakan
Campa,asha1243,asha1243,,,,78,,Arawakan
Amuesha,yane1238,yane1238,,,,78,5*,Arawakan
Warekena,ware1256,ware1256,,,,78,8a,Arawakan
Amahuaca,amah1246,amah1246,,,,45,7,Pano-Tacanan
Wayampi,waya1270,waya1270,,,,71,5*,Tupian
Pashto,pash1269,pash1269,,,,589,6a*,Indo-European
Spanish,stan1288,stan1288,,,,589,1,Indo-European
Portuguese,port1283,port1283,,,,589,1,Indo-European
German,stan1295,stan1295,,,,589,1,Indo-European
Bahnar,bahn1262,bahn1262,,,,156,5*,Austroasiatic
Sedang,seda1262,seda1262,,,,156,6a*,Austroasiatic
Loven,lave1248,lave1248,,,,156,6a*,Austroasiatic
Nyaheun,nyah1249,nyah1249,,,,156,6a,Austroasiatic
Ngeq,ngeq1245,ngeq1245,,,,156,6a*,Austroasiatic
"Ta’oih, Upper",uppe1406,uppe1406,,,,156,6a*,Austroasiatic
Nung,nung1283,nung1283,,,,95,5*,Tai-Kadai
Aka-Biada,akab1249,akab1249,,,,10,10,Great Andamanese
Alamblak,alam1246,alam1246,,,,36,6b,Sepik
Awara,awar1248,awar1248,,,,316,6a,Nuclear Trans New Guinea
Amele,amel1241,amel1241,,,,316,6b*,Nuclear Trans New Guinea
Hanga Hundi,hang1263,hang1263,,,,36,5*,Sepik
Awtuw,awtu1239,awtu1239,,,,36,6b*,Sepik
Kairiru,kair1263,kair1263,,,,1277,6a*,Austronesian
Kiwai,kiwa1251,kiwa1251,,,,6,5,Kiwaian
Kewa,kewa1250,kewa1250,,,,316,5*,Nuclear Trans New Guinea
Kobon,kobo1249,kobo1249,,,,316,5,Nuclear Trans New Guinea
Imonda,imon1245,imon1245,,,,15,6b*,Border
Korowai,koro1312,koro1312,,,,316,6a,Nuclear Trans New Guinea
Koiari,koia1261,koia1261,,,,8,6b*,Koiarian
Kombai,komb1271,komb1271,,,,316,6b*,Nuclear Trans New Guinea
Marind (-Amin/Anim),nucl1622,nucl1622,,,,17,6b,Anim
Yelmek,yelm1241,yelm1241,,,,2,8a,Bulaka River
Mombum,nucl1452,nucl1452,,,,2,8a,Mombum-Koneraw
Yei,yeii1239,yeii1239,,,,19,7,Yam
Boazi,boaz1244,boaz1244,,,,17,5,Anim
Yaqay,yaga1246,yaga1246,,,,17,6b*,Anim
Aghu,aghu1255,aghu1255,,,,316,6a,Nuclear Trans New Guinea
Kati,kati1270,kati1270,,,,316,6a,Nuclear Trans New Guinea
Mee  (ekari),meee1238,meee1238,,,,316,5*,Nuclear Trans New Guinea
Moni,moni1261,moni1261,,,,316,5*,Nuclear Trans New Guinea
Kamoro,kamo1255,kamo1255,,,,316,6a*,Nuclear Trans New Guinea
"Aleut, Eastern",east2533,east2533,,,,12,8a,Eskimo-Aleut
Kammu (khmu),khmu1256,khmu1256,,,,156,5,Austroasiatic
Tokelau,toke1240,toke1240,,,,1277, ,Austronesian
Cantonese,cant1236,cant1236,,,,496,2,Sino-Tibetan
Hokkien,minn1241,minn1241,,,,496,5,Sino-Tibetan
"Malay, Nonthaburi",Ø,Ø,,,,1277, ,Austronesian
"Fijian, Boumaa",fiji1243,fiji1243,,,,1277,4,Austronesian
Leti,leti1246,leti1246,,,,1277,7,Austronesian
Ket,kett1243,kett1243,,,,5,8a,Yeniseian
"Yukaghir, Kolyma",koli1247*,koli1247*,,,,4,8a,Yukaghir
Acehnese,achi1257,achi1257,,,,1277,6b,Austronesian
"Bajau, West Coast",west2560,west2560,,,,1277,6b,Austronesian
Bonggi,bong1289,bong1289,,,,1277,6b,Austronesian
Mualang,mual1241,mual1241,,,,1277,5*,Austronesian
West Greenlandic,kala1399,kala1399,,,,12,1,Eskimo-Aleut
"Yupik, Siberian",cent2128,cent2128,,,,12,7,Eskimo-Aleut
Tatana’,tata1257,tata1257,,,,1277,6b,Austronesian
Alutor,alut1245,alut1245,,,,7,8b,Chukotko-Kamchatkan
Chukchi,chuk1273,chuk1273,,,,7,6b,Chukotko-Kamchatkan
Central Tagbanwa,cent2090,cent2090,,,,1277,8b,Austronesian
Ivatan,ibat1238,ibat1238,,,,1277,4,Austronesian
Bikol,biko1240,biko1240,,,,1277, ,Austronesian
"Sambal, Botolan",boto1242,boto1242,,,,1277,5,Austronesian
Isnag,isna1241,isna1241,,,,1277,4,Austronesian
"Kalinga, Limos",limo1248,limo1248,,,,1277,4,Austronesian
Karao,kara1487,kara1487,,,,1277,5,Austronesian
Sarangani Manobo,sara1327,sara1327,,,,1277,5*,Austronesian
"Zapotec, Zoogocho",zoog1239,zoog1239,,,,180,6b*,Otomanguean
Irish,iris1263,iris1263,,,,589,6b,Indo-European
Hungarian,hung1263,hung1263,,,,48,1,Uralic
Basque,basq1248,basq1248,,,,1,2,Basque
Swedish,swed1254,swed1254,,,,589,1,Indo-European
Romanian,roma1327,roma1327,,,,589,1,Indo-European
Bulgarian,bulg1262,bulg1262,,,,589,1,Indo-European
Lithuanian,lith1251,lith1251,,,,589,1,Indo-European
Greek,gree1276,gree1276,,,,589,1,Indo-European
Albanian,alba1267,alba1267,,,,589,1,Indo-European
Swahili,swah1253,swah1253,,,,1433,1,Atlantic-Congo
Mbugu,mbug1240,mbug1240,,,,375,7,Afro-Asiatic
Konso,kons1243,kons1243,,,,375,4,Afro-Asiatic
Seereer,sere1260,sere1260,,,,1433,5,Atlantic-Congo
Aghul,aghu1238,aghu1238,,,,34,6a,Nakh-Daghestanian
Archi,arch1244,arch1244,,,,34,6b,Nakh-Daghestanian
"Russian, Daghestanian",dagh1238,dagh1238,,,,589, ,Indo-European
East Futunan,east2447,east2447,,,,1277,5,Austronesian
Drehu,dehu1237,dehu1237,,,,1277,4,Austronesian
Adyghe,adyg1241,adyg1241,,,,5,2,Abkhaz-Adyge
Mapudungun,mapu1245,mapu1245,,,,2,6b,Araucanian
Blackfoot,siks1238,siks1238,,,,46,7,Algic
"Quechua, Ayacucho",ayac1239,ayac1239,,,,44,3,Quechuan
"Quechua, Bolivian",sout2991,sout2991,,,,44,5*,Quechuan
"Quechua, Cuzco",cusc1236,cusc1236,,,,44,3,Quechuan
Kiowa,kiow1266,kiow1266,,,,8,8a,Kiowa-Tanoan
Mor,morb1239,morb1239,,,,1,8a,Mor (Bomberai Peninsula)
Yawa,nucl1454,nucl1454,,,,2,5*,Yawa-Saweru
Belhare,belh1239,belh1239,,,,496,6b,Sino-Tibetan
Moskona,mosk1236,mosk1236,,,,3,5*,East Bird�s Head
Kaluli,kalu1248,kalu1248,,,,7,5,Bosavi
Oirata,oira1263,oira1263,,,,23,7,Timor-Alor-Pantar
Tawala,tawa1275,tawa1275,,,,1277,5,Austronesian
Manambu,mana1298,mana1298,,,,36,6b,Sepik
Yimas,yima1243,yima1243,,,,30,6b,Lower Sepik-Ramu
Wardaman,ward1246,ward1246,,,,3,8a,Yangmanic
