society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
B336,Alkatcho,xd1069,sout2958,Southern Carrier,Athabaskan-Eyak-Tlingit,B014,144.8406,,1865,,
B55,Yahgan,xd1383,yama1264,Yámana,,B014,144.8406,,1870,,
B143,Seri,xd1289,seri1257,Seri,,B014,152.8873,,1900,,
B16,Mlabri,xd909,mlab1235,Mlabri,Austroasiatic,B014,152.8873,,1963,,
B129,Kaurna,xd974,kaur1267,Kaurna,Pama-Nyungan,B014,160.934,,1840,,
B177,Coast Yuki,xd1113,yuki1243,Yuki,Yuki-Wappo,B014,160.934,,1860,,
B198,Hualapai,xd1202,wala1270,Walapai,Cochimi-Yuman,B014,168.9807,,1870,,
B152,Tübalulabal,xd1118,tuba1278,Tübatulabal,Uto-Aztecan,B014,177.0274,,1850,,
B14,Agta (Cagayan),xd908,cent2084,Central Cagayan Agta,Austronesian,B014,193.1208,,1924,,
B228,Wadaduka,xd1176,west2622,Western Shoshoni,Uto-Aztecan,B014,193.1208,,1860,,
B67,Hukwe,xd929,kxoe1243,Kxoe,Khoe-Kwadi,B014,201.1675,,1950,,Binford estimate
B106,Kariyarra,xd780,kari1304,Kariyarra,Pama-Nyungan,B014,209.2142,,1910,,
B218,Mahaguaduka,xd1169,west2622,Western Shoshoni,Uto-Aztecan,B014,209.2142,,1860,,
B12,Agta (Casiguran),xd906,casi1235,Casiguran-Nagtipunan Agta,Austronesian,B014,217.2609,,1965,,
B190,Guaicura,xd985,guai1237,Guaicurian,,B014,217.2609,,1760,,
B372,Labrador Inuit,xd1039,labr1244,North Labrador Eskimo,Eskimo-Aleut,B014,217.2609,,1890,,
B48,Aimoré,xd1413,kren1239,Krenak,Nuclear-Macro-Je,B014,217.2609,,1880,,Binford estimate
B289,Tsimshian,xd1104,nucl1649,Southern-Coastal Tsimshian,Tsimshian,B014,220.147895,,1880,,"Note, Binford Table 5.01 lists '64.3736 km', but without attributing the value to a specific reference, so the value from table 8.04 is displayed here."
B160,Wintu,xd1112,nucl1651,Nuclear Wintu,Wintuan,B014,223.69826,,1860,,
B3,Anak Dalam,xd757,kubu1239,Kubu,Austronesian,B014,225.3076,,1900,,
B84,Gunwinygu,xd939,gunw1252,Bininj Kun-Wok,Gunwinyguan,B014,225.3076,,1978,,
B378,Inuvialuit,xd1019,sigl1242,Siglitun,Eskimo-Aleut,B014,233.3543,,1910,,
